concept:name,case:concept:name,time:timestamp
a6,1,2024-08-23 00:16:49.023395+00:00
a20,1,2024-08-23 00:16:49.033395+00:00
a37,1,2024-08-23 00:16:58.616905+00:00
a54,1,2024-08-23 00:16:58.621905+00:00
a53,1,2024-08-23 00:17:26.139411+00:00
a71,1,2024-08-23 00:17:28.112796+00:00
a73,1,2024-08-23 00:20:47.664169+00:00
a72,1,2024-08-23 00:20:52.329877+00:00
a2,1,2024-08-23 00:20:58.929938+00:00
a1,1,2024-08-23 00:21:00.940837+00:00
a20,1,2024-08-23 00:21:00.945837+00:00
a37,1,2024-08-23 00:21:06.480447+00:00
a85,1,2024-08-23 00:45:30.480108+00:00
a85,1,2024-08-23 00:45:35.078984+00:00
a8,1,2024-08-23 00:45:36.427369+00:00
a51,1,2024-08-23 00:45:36.570391+00:00
a6,1,2024-08-23 00:45:36.575391+00:00
a85,1,2024-08-23 00:45:36.580391+00:00
a85,1,2024-08-23 00:45:48.722040+00:00
a8,1,2024-08-23 00:46:00.948433+00:00
a51,1,2024-08-23 00:46:01.315334+00:00
a29,1,2024-08-23 16:18:37.254162+00:00
a20,1,2024-08-23 16:18:37.264162+00:00
a37,1,2024-08-23 16:18:41.500866+00:00
a20,1,2024-08-23 16:18:41.505866+00:00
a54,1,2024-08-23 16:18:41.510866+00:00
a53,1,2024-08-23 16:18:54.911559+00:00
a71,1,2024-08-23 16:21:06.649425+00:00
a73,1,2024-08-23 16:21:12.996262+00:00
a72,1,2024-08-23 16:21:15.931916+00:00
a2,1,2024-08-23 16:21:23.638551+00:00
a1,1,2024-08-23 16:21:26.132379+00:00
a6,1,2024-08-23 16:21:27.581288+00:00
a37,1,2024-08-23 16:21:27.586288+00:00
a85,1,2024-08-23 16:21:32.047828+00:00
a85,1,2024-08-23 16:21:35.170181+00:00
a8,1,2024-08-23 16:21:36.505052+00:00
a51,1,2024-08-23 16:21:36.623430+00:00
a85,1,2024-08-23 16:21:36.628430+00:00
a85,1,2024-08-23 16:21:41.627880+00:00
a8,1,2024-08-23 16:21:46.625724+00:00
a51,1,2024-08-23 16:21:46.926813+00:00
a29,1,2024-09-01 14:38:50.237836+00:00
a20,1,2024-09-01 14:38:50.247836+00:00
a20,1,2024-09-01 14:38:50.252836+00:00
a37,1,2024-09-01 14:39:00.589454+00:00
a85,1,2024-09-01 14:39:05.050994+00:00
a85,1,2024-09-01 14:39:08.173347+00:00
a54,1,2024-09-01 14:39:08.178347+00:00
a53,1,2024-09-01 14:39:39.776262+00:00
a71,1,2024-09-01 14:41:40.203735+00:00
a73,1,2024-09-01 14:41:49.346572+00:00
a72,1,2024-09-01 14:41:53.781296+00:00
a2,1,2024-09-01 14:42:02.314145+00:00
a1,1,2024-09-01 14:42:04.488141+00:00
a6,1,2024-09-01 14:42:07.823572+00:00
a8,1,2024-09-01 14:42:07.828572+00:00
a51,1,2024-09-01 14:42:07.946950+00:00
a37,1,2024-09-01 14:42:07.951950+00:00
a85,1,2024-09-01 14:42:18.230550+00:00
a85,1,2024-09-01 14:42:23.230000+00:00
a8,1,2024-09-01 14:42:28.227844+00:00
a51,1,2024-09-01 14:42:28.528933+00:00
a29,1,2024-09-10 12:59:31.839956+00:00
a20,1,2024-09-10 12:59:31.849956+00:00
a20,1,2024-09-10 12:59:31.854956+00:00
a54,1,2024-09-10 12:59:31.859956+00:00
a53,1,2024-09-10 12:59:59.377462+00:00
a71,1,2024-09-10 13:00:01.350847+00:00
a73,1,2024-09-10 13:03:20.902220+00:00
a72,1,2024-09-10 13:03:25.567928+00:00
a2,1,2024-09-10 13:03:32.167989+00:00
a1,1,2024-09-10 13:03:34.178888+00:00
a6,1,2024-09-10 13:03:35.587921+00:00
a37,1,2024-09-10 13:03:35.592921+00:00
a85,1,2024-09-10 13:03:40.054461+00:00
a85,1,2024-09-10 13:03:43.176814+00:00
a8,1,2024-09-10 13:03:44.511685+00:00
a51,1,2024-09-10 13:03:44.630063+00:00
a37,1,2024-09-10 13:03:44.635063+00:00
a85,1,2024-09-10 13:03:54.913663+00:00
a85,1,2024-09-10 13:03:59.913113+00:00
a8,1,2024-09-10 13:04:04.910957+00:00
a51,1,2024-09-10 13:04:05.212046+00:00
a29,1,2024-09-19 11:21:08.523069+00:00
a54,1,2024-09-19 11:21:08.533069+00:00
a53,1,2024-09-19 11:21:36.050575+00:00
